animal_id,species,breed,age_years,weight_kg,sex,visit_id,visit_date,presenting_complaint,body_system,diagnosis,severity,treatment_type,treatment_detail,outcome
ANM14211,Cat,British Shorthair,7.1,6.9,MN,VIS14211,2023-07-27,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),severe,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM02270,Dog,French Bulldog,1.4,12.3,MN,VIS02270,2023-08-01,"limping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"NSAIDs (carprofen/meloxicam), joint supplements",chronic management
ANM06041,Dog,French Bulldog,6.3,9.6,FS,VIS06041,2024-02-05,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM04547,Dog,French Bulldog,8.4,11.2,FS,VIS04547,2023-01-02,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint), topical therapies",chronic management
ANM02396,Dog,German Shepherd,11.3,28.3,F,VIS02396,2024-07-24,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14524,Cat,Domestic Shorthair,4.2,5.9,MN,VIS14524,2023-01-06,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM02250,Dog,Chihuahua,11.1,2.5,FS,VIS02250,2024-09-17,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM11563,Cat,Maine Coon,5.8,5.2,FS,VIS11563,2023-08-02,"sneezing, nasal discharge, eye discharge",Respiratory,Upper respiratory infection (cat flu),mild,Medication,"Supportive care, antibiotics if secondary (doxycycline)",recovered
ANM03651,Dog,Labrador Retriever,11.9,31.4,MN,VIS03651,2024-09-30,"eye discharge, redness",Ophthalmology,Conjunctivitis,mild,Medication,Topical ophthalmic antibiotics,recovered
ANM10132,Cat,Domestic Shorthair,19.4,6.0,FS,VIS10132,2024-07-29,"eye discharge, squinting",Ophthalmology,Conjunctivitis,mild,Medication,Topical ophthalmic antibiotics,recovered
ANM11779,Cat,Domestic Shorthair,7.0,4.3,F,VIS11779,2023-04-06,"lethargy, vaginal discharge, anorexia",Reproductive,Pyometra,severe,Surgery,Ovariohysterectomy,recovered
ANM11437,Cat,British Shorthair,14.2,6.8,FS,VIS11437,2023-03-29,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM14284,Cat,Siamese,3.4,4.7,F,VIS14284,2023-11-12,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM11424,Cat,Maine Coon,7.5,5.4,FS,VIS11424,2024-06-30,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",recovered
ANM09476,Cat,Domestic Shorthair,9.1,5.7,MN,VIS09476,2024-12-27,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM08742,Cat,Maine Coon,11.3,8.1,M,VIS08742,2023-02-05,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM12983,Cat,Domestic Shorthair,8.1,3.7,FS,VIS12983,2024-03-05,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM10530,Cat,Domestic Shorthair,8.2,3.2,MN,VIS10530,2023-09-20,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM01308,Dog,German Shepherd,12.4,29.6,F,VIS01308,2023-12-13,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM13214,Cat,Domestic Shorthair,7.9,4.7,F,VIS13214,2023-05-17,"eye discharge, squinting",Ophthalmology,Conjunctivitis,mild,Medication,Topical ophthalmic antibiotics,recovered
ANM09934,Cat,Domestic Shorthair,3.4,3.7,MN,VIS09934,2024-05-25,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM02267,Dog,Labrador Retriever,4.4,27.7,MN,VIS02267,2024-06-12,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM14302,Cat,Domestic Shorthair,13.8,5.3,MN,VIS14302,2024-06-15,"exercise intolerance, open-mouth breathing",Cardiovascular,Hypertrophic cardiomyopathy (HCM),severe,Medication,"Atenolol or diltiazem, clopidogrel",chronic management
ANM11054,Cat,Persian,7.9,3.1,MN,VIS11054,2024-03-01,"weight loss, vomiting, increased thirst",Urinary,Polycystic Kidney Disease (PKD),moderate,Medication,"Symptomatic management (fluids, antiemetics, blood pressure control)",chronic management
ANM12619,Cat,Siamese,1.4,3.3,MN,VIS12619,2023-03-20,"wheezing, coughing, laboured breathing",Respiratory,Feline asthma,severe,Medication,"Inhaled fluticasone via spacer, oral prednisolone, bronchodilators",recovered
ANM14761,Cat,Maine Coon,11.1,9.6,FS,VIS14761,2027-04-01,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM13872,Cat,Siamese,13.3,4.2,MN,VIS13872,2024-05-05,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM05054,Dog,Labrador Retriever,11.7,33.2,MN,VIS05054,2024-10-11,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Ear flushing, topical antimicrobial/steroid drops",recovered
ANM07623,Dog,French Bulldog,4.8,11.9,M,VIS07623,2024-02-04,"noisy breathing, exercise intolerance, cyanosis",Respiratory,Brachycephalic Obstructive Airway Syndrome (BOAS),severe,Surgery,"Staphylectomy, nares resection",chronic management
ANM00023,Dog,Yorkshire Terrier,11.3,3.4,FS,VIS00023,2024-06-13,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM03644,Dog,French Bulldog,2.9,12.1,F,VIS03644,2024-12-09,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM14007,Cat,Domestic Shorthair,4.4,3.9,MN,VIS14007,2024-10-22,"diarrhoea, decreased appetite",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, probiotics, bland diet",recovered
ANM02311,Dog,French Bulldog,7.0,11.3,MN,VIS02311,2023-08-28,"noisy breathing, exercise intolerance, cyanosis",Respiratory,Brachycephalic Obstructive Airway Syndrome (BOAS),moderate,Surgery,"Staphylectomy, nares resection",chronic management
ANM13192,Cat,Maine Coon,12.6,7.6,MN,VIS13192,2023-01-14,"reduced jumping, hindlimb weakness",Musculoskeletal,Hip dysplasia,moderate,Medication,"Weight control, gabapentin or robenacoxib for pain management",chronic management
ANM14031,Cat,Maine Coon,9.7,6.0,FS,VIS14031,2023-10-21,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM03538,Dog,Yorkshire Terrier,9.0,2.3,MN,VIS03538,2024-10-16,"honking cough, respiratory distress",Respiratory,Tracheal collapse,severe,Medication,"Antitussives (butorphanol), weight management",recovered
ANM00238,Dog,Labrador Retriever,11.1,32.7,FS,VIS00238,2024-05-17,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM06613,Dog,French Bulldog,8.9,11.1,MN,VIS06613,2023-06-29,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM08317,Cat,Persian,11.3,3.7,M,VIS08317,2023-03-14,"eye squinting, discharge, corneal pigmentation",Ophthalmology,Corneal ulcer / Sequestrum,moderate,Surgery,"Topical ophthalmic antibiotics, lubricants, superficial keratectomy",recovered
ANM01370,Dog,German Shepherd,7.4,98.7,FS,VIS01370,2024-12-11,"diarrhoea, vomiting",GI,Diarrhoea / Gastroenteritis,moderate,Medication,"Metronidazole, bland diet, fluids",recovered
ANM05116,Dog,Labrador Retriever,10.9,33.0,MN,VIS05116,2024-06-02,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM06537,Dog,Yorkshire Terrier,3.1,2.1,MN,VIS06537,2024-08-28,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM10012,Cat,Maine Coon,7.7,6.5,F,VIS10012,2024-11-15,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14155,Cat,Domestic Shorthair,13.5,3.5,MN,VIS14155,2024-10-07,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM08208,Cat,Persian,10.1,3.9,MN,VIS08208,2024-11-28,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM07421,Dog,French Bulldog,2.8,11.3,F,VIS07421,2023-03-04,"noisy breathing, exercise intolerance, cyanosis",Respiratory,Brachycephalic Obstructive Airway Syndrome (BOAS),moderate,Surgery,"Staphylectomy, nares resection",chronic management
ANM00369,Dog,German Shepherd,6.2,22.5,MN,VIS00369,2024-08-29,"itching, redness, recurrent skin issues",Dermatology,Atopic dermatitis,moderate,Medication,"Oclacitinib (Apoquel), lokivetmab (Cytopoint)",chronic management
ANM13862,Cat,Domestic Shorthair,6.8,5.2,MN,VIS13862,2024-11-21,"exercise intolerance, open-mouth breathing",Cardiovascular,Hypertrophic cardiomyopathy (HCM),moderate,Medication,"Atenolol or diltiazem, clopidogrel",chronic management
ANM05845,Dog,German Shepherd,28.2,23.9,M,VIS05845,2023-04-03,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM14903,Cat,Domestic Shorthair,11.1,3.0,FS,VIS14903,2023-04-04,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),severe,Medication,"Pain relief, urinary diet, fluids",recovered
ANM07210,Dog,Yorkshire Terrier,3.6,2.7,M,VIS07210,2023-11-30,"bad breath, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM03265,Dog,Beagle,13.4,10.4,MN,VIS03265,2024-09-14,"vomiting, lethargy",GI,Vomiting (acute),mild,Supportive care,"Anti-emetics (maropitant), fluids, fasting",recovered
ANM13351,Cat,Persian,13.4,4.7,FS,VIS13351,2024-12-28,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM07714,Dog,French Bulldog,2.5,9.8,FS,VIS07714,2024-08-28,"noisy breathing, exercise intolerance, cyanosis",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Surgery,"Staphylectomy, nares resection",chronic management
ANM06871,Dog,Yorkshire Terrier,9.6,2.4,MN,VIS06871,2023-12-07,"eye discharge, redness",Ophthalmology,Conjunctivitis,mild,Medication,Topical ophthalmic antibiotics,recovered
ANM11109,Cat,Domestic Shorthair,9.9,3.1,M,VIS11109,2024-08-25,"weight loss, increased thirst, decreased appetite",Urinary,Chronic Kidney Disease (CKD),severe,Medication,"Renal diet, phosphate binders, SQ fluids, benazepril",chronic management
ANM10858,Cat,Persian,7.2,3.1,MN,VIS10858,2027-01-14,"straining to urinate, blood in urine, vocalising",Urinary,Feline Lower Urinary Tract Disease (FLUTD),moderate,Medication,"Pain relief, urinary diet, fluids; catheterisation if blocked",chronic management
ANM02929,Dog,German Shepherd,1.2,35.0,F,VIS02929,2024-11-15,"scooting, licking perianal area, pain on defecation",Dermatology,Anal furunculosis,moderate,Medication,"Ciclosporin, metronidazole",chronic management
ANM08911,Cat,Siamese,4.8,3.9,F,VIS08911,2020-06-03,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM11088,Cat,Persian,1.7,4.0,MN,VIS11088,2024-02-23,"weight loss, vomiting, increased thirst",Urinary,Polycystic Kidney Disease (PKD),severe,Medication,"Symptomatic management (fluids, antiemetics, blood pressure control)",chronic management
ANM09064,Cat,Domestic Shorthair,19.9,3.9,MN,VIS09064,2024-12-04,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM11286,Cat,Persian,10.9,4.3,MN,VIS11286,2024-08-12,"weight loss, vomiting, increased thirst",Urinary,Polycystic Kidney Disease (PKD),moderate,Medication,"Symptomatic management (fluids, antiemetics, blood pressure control)",chronic management
ANM12883,Cat,Domestic Shorthair,18.4,4.6,FS,VIS12883,2024-10-27,"sneezing, nasal discharge, eye discharge",Respiratory,Upper respiratory infection (cat flu),mild,Medication,"Supportive care, antibiotics if secondary (doxycycline)",recovered
ANM04727,Dog,Labrador Retriever,13.6,29.7,FS,VIS04727,2023-02-05,"head shaking, ear scratching",Ear,Otitis externa,moderate,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM09410,Cat,Domestic Shorthair,3.5,4.5,MN,VIS09410,2024-08-25,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM04475,Dog,Chihuahua,3.7,1.7,M,VIS04475,2024-08-27,"limping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"NSAIDs (carprofen/meloxicam), joint supplements",chronic management
ANM11182,Cat,Domestic Shorthair,19.2,5.3,FS,VIS11182,2023-09-14,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM05400,Dog,German Shepherd,2.7,25.7,F,VIS05400,2024-08-28,"frequent urination, straining",Urinary,Urinary tract infection,moderate,Medication,Antibiotics (amoxicillin-clavulanate),recovered
ANM11509,Cat,Domestic Shorthair,14.4,3.3,FS,VIS11509,2023-06-07,"sneezing, nasal discharge, eye discharge",Respiratory,Upper respiratory infection (cat flu),moderate,Medication,"Supportive care, antibiotics if secondary (doxycycline)",recovered
ANM01318,Dog,Beagle,14.8,9.2,FS,VIS01318,2023-05-11,"vomiting, anorexia",GI,Foreign body ingestion,severe,Surgery,"Exploratory laparotomy, endoscopic removal",recovered
ANM03373,Dog,French Bulldog,3.4,8.1,FS,VIS03373,2023-12-29,"head shaking, ear scratching",Ear,Otitis externa,mild,Medication,"Topical antimicrobial/steroid drops, ear flush",recovered
ANM10019,Cat,British Shorthair,16.2,4.7,F,VIS10019,2024-01-12,"weight gain, increased thirst, increased urination",GI,Obesity and Type II Diabetes,moderate,Medication,"Strict caloric restriction, high-protein/low-carb diet, insulin glargine",chronic management
ANM08544,Cat,Domestic Shorthair,3.5,4.5,FS,VIS08544,2023-05-25,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM14696,Cat,British Shorthair,10.7,7.8,FS,VIS14696,2023-06-18,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
ANM02649,Dog,German Shepherd,8.7,38.1,MN,VIS02649,2023-09-08,"limping, stiffness",Musculoskeletal,Osteoarthritis,moderate,Medication,"NSAIDs (meloxicam), physiotherapy",chronic management
ANM02770,Dog,German Shepherd,7.4,35.9,MN,VIS02770,2023-06-11,"scratching, skin lesions",Dermatology,Pyoderma,moderate,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM01487,Dog,Labrador Retriever,12.8,31.8,M,VIS01487,2024-12-05,"coughing, nasal discharge",Respiratory,Kennel cough (CIRD),mild,Medication,"Antitussives, antibiotics if secondary infection",recovered
ANM05238,Dog,French Bulldog,8.0,9.0,MN,VIS05238,2024-12-03,"bad breath, difficulty eating",Dental,Periodontal disease,moderate,Surgery,Dental scaling and extractions,recovered
ANM13367,Cat,Domestic Shorthair,13.5,3.1,FS,VIS13367,2023-04-19,"bad breath, drooling, difficulty eating",Dental,Periodontal disease,mild,Surgery,Dental scaling and extractions,recovered
ANM07266,Dog,French Bulldog,5.7,9.0,FS,VIS07266,2024-05-25,"scratching, skin lesions",Dermatology,Pyoderma,moderate,Medication,"Systemic antibiotics (cephalexin), topical therapy",recovered
ANM10537,Cat,Domestic Shorthair,1.6,3.6,FS,VIS10537,2024-04-20,"scratching, hair loss, skin lesions",Dermatology,Flea allergy dermatitis,mild,Medication,"Flea treatment (selamectin/fipronil), topical steroids",recovered
